,0
aakuraj,1
abigailbimman,1
able,13
access,5
according,1
acmpr,1
act,2
actualidad,1
acute,1
addiction,2
adult,2
affect,3
afford,1
aged,1
ago,1
aimed,1
alcohol,5
align,1
allow,1
already,2
also,1
amendments,1
among,2
amount,2
amp,6
andrewjwilder,1
announced,1
another,1
answer,3
anthonyfurey,4
anxiety,2
anymore,1
apparently,5
appealscourt,1
approves,2
argcro,1
armandconant,3
around,5
article,1
asked,1
asking,1
assent,9
available,4
ban,1
bardishkw,1
bclarahan,1
becomes,2
becoming,1
begin,3
beliefs,1
believe,1
bill,11
billblair,1
bills,2
birthday,1
black,3
blog,3
bloomthc,1
bolt,1
boom,1
boycottusa,1
brain,4
breaking,1
breathalyzer,1
bring,12
brokers,1
business,2
call,1
calls,3
cambattley,1
canada,54
canadian,3
canadians,6
canadá,2
canborder,12
cancel,1
cancels,1
cannabidiol,1
cannabis,81
cannabisact,17
cannabiscci,1
cannabisculture,2
cannabistaskforce,2
capital,1
careers,3
case,1
catch,1
cbd,2
cdnpoli,3
ceremony,1
changes,1
chat,5
check,6
choice,1
choose,1
christyandfras,1
chuckgrassley,3
cindyingramllb,1
city,1
cityofvancouver,1
clear,2
cleared,1
come,3
comes,10
coming,1
commercial,1
community,1
companies,2
compassionate,1
completely,1
comprehensive,1
conservative,1
consultations,5
consuming,1
conversationca,2
coo,1
could,4
council,1
countdown,2
country,3
coz,2
create,2
criminals,1
cse,1
cultivate,1
cultivation,2
culture,1
current,5
curve,1
dabado,1
dabadolabs,1
dailyhit,1
dans,1
date,2
daviddinenberg,2
deaths,2
debates,1
december,1
deck,1
delivered,1
depending,1
des,1
detroit,1
development,1
different,2
differently,1
discover,1
discuss,5
discussing,1
doa,2
doctor,1
doug,2
dougford,3
dravet,1
drawing,1
drex,4
drive,2
drivers,4
driving,7
drop,3
drug,1
drugs,6
drunk,2
dui,2
early,1
earth,1
effective,1
effects,4
elected,3
eliminate,3
embedded,2
employee,1
end,1
equivalent,3
erinotoolemp,1
even,15
evidence,1
examines,1
exclusive,2
existing,2
expert,1
experts,1
face,1
facilitate,1
fascinating,1
faster,2
fearcastj,1
fellow,1
field,1
final,1
financial,1
fins,1
florida,1
fnghadaki,1
force,2
ford,5
fordnation,3
forensics,1
form,1
forum,1
forward,1
fully,1
future,12
geek,1
general,2
get,2
getting,4
given,2
globaledmonton,3
gmiwh,1
gmr,1
going,2
got,2
govcanhealth,7
government,2
governor,2
grande,1
grants,1
grassley,3
group,1
grow,1
gtigrows,1
guests,1
gupta,1
guy,2
gvhd,1
hands,1
happening,3
happens,1
harvestmedicine,1
hckosovogta,1
headed,1
health,2
healthcare,1
hear,1
heating,1
helps,2
hexo,1
high,5
hoc,2
hocchamber,2
hocspeaker,2
home,4
host,1
however,1
https,93
humor,1
hurdle,1
hype,1
ideas,1
igc,1
illegal,3
impaired,2
impairment,1
induction,1
industrialhempcultivation,5
industry,9
informed,2
initially,1
installation,1
insurance,1
integrating,2
intérieure,1
investor,1
investors,1
iraesp,1
issue,1
italy,1
jersey,2
jobs,5
jodieemery,6
joingreenrush,1
joins,4
juicing,1
july,1
june,5
jurisdiction,1
justin,1
kaly,1
kalytera,1
key,2
kit,1
know,14
last,1
launching,1
law,3
laws,7
lead,1
leafbuyer,1
leafly,1
learn,1
learning,1
leaving,1
legal,29
legalisation,1
legalisecannabis,2
legalises,2
legalization,22
legalize,6
legalized,5
legalizes,4
legalizing,1
legislation,1
legislative,1
legislature,2
let,6
licence,1
licenses,1
link,2
links,2
looking,1
lot,2
lps,1
luz,1
made,3
madeincanada,1
mandymcknight,1
marihuana,1
marijuana,39
marijuanadecriminalization,8
marijuananews,4
marijuanastocks,3
market,4
massachusetts,2
massive,3
matthew,1
may,2
means,1
measure,1
medford,1
medical,3
medicalcannabis,1
medicalmarijuana,2
medicinal,1
medicine,2
megandrumm,1
merit,3
milestone,1
minister,2
mjinvestorideas,1
montereybud,5
month,1
morning,5
move,1
moving,1
murky,1
music,1
mzblack,1
médicales,1
médicodelfuturo,1
natickma,1
nation,1
natpostradio,1
near,13
need,13
needs,1
new,7
news,3
nichecanada,2
njdotcom,1
nugget,1
nunavut,1
occupywsib,1
october,11
octopus,1
offer,1
officially,1
officials,1
oklahoma,1
one,2
ontario,7
opioid,2
paid,2
pain,1
panel,1
pardons,2
part,1
partake,1
partner,1
pass,4
passed,1
passes,3
passing,2
patients,1
penetration,1
people,4
piccoloheathllp,1
planning,3
plants,2
play,1
plus,2
pnpcbc,1
podcast,2
post,1
pot,10
potcast,1
potcasts,1
present,1
presides,1
prevention,1
pricing,1
prime,2
pro,1
probably,1
program,1
provides,1
psa,2
question,3
questions,3
québec,1
random,1
reached,1
read,4
ready,8
realchristinal,1
realize,2
received,3
receives,2
recreational,15
recreativo,1
reduce,2
regs,1
regulated,12
regulation,5
regulations,2
rejoice,1
related,2
remain,2
repair,1
report,1
republican,3
request,1
residents,1
return,1
rick,1
right,3
roll,1
royal,9
royalassent,1
ruler,1
sales,5
sanjay,1
sauce,1
says,2
scotlandstalkin,5
second,2
secret,1
see,4
selling,1
senate,1
senateca,3
senca,2
senjaffer,1
service,1
set,1
sets,1
shared,1
shares,1
smoke,2
society,1
space,1
spokeswoman,1
stable,3
stall,1
start,3
started,1
stay,1
still,14
stockhouse,1
stocks,1
stricter,2
suburbanfinance,2
suffer,2
summer,1
sunday,3
supply,2
syndrome,1
take,1
talk,1
teamcrestviewstrategy,1
tell,3
tend,2
tests,1
texasrepublicans,5
tgod,1
thanks,2
theleafnews,1
theshiftwithdrex,5
things,5
think,3
though,14
thoughts,2
time,5
today,3
tokerware,2
tokerwaredotcom,1
tonight,6
topten,5
training,1
travel,1
treatment,1
trinafraser,2
trouvera,1
trudeau,6
tsx,2
two,1
udtapunjab,2
underway,1
upcoming,1
update,1
use,12
user,1
uso,1
vaporizers,1
verde,1
version,2
vice,1
victory,1
vineshpratap,2
voiceover,2
vote,1
voting,1
want,4
wanted,1
wants,7
war,3
waste,2
watch,2
waters,1
way,1
wednesday,2
wednesdaywisdom,1
weed,11
weedmafiaclub,5
weedmaps,1
weeds,1
weedsmen,1
weigh,1
weighs,1
welcome,1
wheels,1
whereas,2
winning,1
womeninforensic,1
womeninforensics,1
world,2
would,3
wrong,1
wtf,3
yeg,3
yesterday,2
zero,1
ziggymarley,1
zoning,1
