Row_Number,Tweet_Num,Tweet,tokenized_cleaned
601,967,@afuahirsch talks wisely on #LegaliseCannabis debate #bbcqt - 'it’s a complex issue requiring sophisticated debate… https://t.co/IEubS6dUxp,afuahirsch talks wisely legalisecannabis debate bbcqt complex issue requiring sophisticated https
602,191,#CannabisAct: The morning after comes with supply anxiety https://t.co/TIsQ85KXku #Cannabis #BillC45,cannabisact morning comes supply anxiety https cannabis
603,658,"RT @TWERadio: .@KentCovington reports today's news, covering the #ExecutiveOrder, #marijuananews, and the #DowJones. 
https://t.co/CUZiNmez…",tweradio kentcovington reports today news covering executiveorder marijuananews dowjones https
604,839,RT @WeedMafiaClub: 😂 😂 😂 😂 😂 #cannabis #marijuana #weed @WeedMafiaClub https://t.co/XVUGfacA8t,weedmafiaclub cannabis marijuana weed weedmafiaclub https
605,1006,"RT @SolidarityScot: Cannabis should be completely legalised.

Legalise, regulate and tax it! Stop the stupid 'War on Drugs'.

#LegaliseCann…",solidarityscot cannabis completely legalised legalise regulate tax stop stupid drugs
606,394,"Voiceover guy that did 'this is your brain on drugs' PSA now wants #legalization

https://t.co/25dcWVXEbS

#tokerware",voiceover guy brain drugs psa wants legalization https tokerware
607,441,"RT @GovCanHealth: .@CDNMinHealth, Minister of @Safety_Canada and Minister of @JusticeCanadaEN are pleased to announce that Bill #C45 has pa…",govcanhealth cdnminhealth minister minister justicecanadaen pleased announce bill
608,567,RT @crifici: Unfortunate but predictable. #C46 is bad #cannabis policy made into law and I look forward to working with @KirkTousaw and oth…,crifici unfortunate predictable bad cannabis policy made law look forward working kirktousaw
609,508,RT @Puglaas: Pleased to see #C45 and #C46 receive Royal Assent. These Bills represent historic law reform built on evidence-based policy fo…,puglaas pleased see receive royal assent bills represent historic law reform built policy
610,127,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,iliveasnatalie professional within construction industry concerned legalization marijuana affect
611,355,"RT @KirkTousaw: I understand and have often commented on the many ways the Cannabis Act is flawed and too restrictive. 

But it still repre…",kirktousaw understand often commented many ways cannabis act flawed restrictive still
612,541,RT @Puglaas: Ravie de voir #C45/#C46 recevoir la sanction royale. Ils représentent une réforme législative historique fondée sur des preuve…,puglaas ravie voir recevoir sanction royale ils représentent une réforme législative historique fondée sur des
613,730,"Come on @ChuckGrassley WTF,
Let’s see if it passes on its merit. #Republican Sen. Grassley is not planning or consi… https://t.co/95i30ls697",come chuckgrassley wtf let see passes merit republican grassley planning https
614,361,"RT @Remploymentlaw: Bill C-45, the govt’s #marijuana #legalization #bill passed in a historic #Senate #vote (52-29) on June 19, resulting i…",remploymentlaw bill govt marijuana legalization bill passed historic senate vote june resulting
615,409,"RT @GovCanHealth: .@CDNMinHealth, Minister of @Safety_Canada and Minister of @JusticeCanadaEN are pleased to announce that Bill #C45 has pa…",govcanhealth cdnminhealth minister minister justicecanadaen pleased announce bill
616,529,RT @Puglaas: So very pleased to see that #C46 has passed the Senate. The new law will strengthen our impaired driving laws to help better p…,puglaas pleased see passed senate new law strengthen impaired driving laws help better
617,166,Recreational use of #Marijuana is legal and comes into affect Oct. 17th and @JodieEmery joins @anthonyfurey to weig… https://t.co/NJHtGVCslm,recreational use marijuana legal comes affect jodieemery joins anthonyfurey https
618,13,"RT @J_MZed: @bbcquestiontime #bbcqt          ffs !!!!!!    
is there not enough research from the Netherlands, Portugal, Canada, California…",bbcquestiontime bbcqt ffs enough research netherlands portugal canada
619,475,RT @Puglaas: Pleased to see #C45 and #C46 receive Royal Assent. These Bills represent historic law reform built on evidence-based policy fo…,puglaas pleased see receive royal assent bills represent historic law reform built policy
620,405,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",canborder even though cannabis legal regulated canada near future still able bring
621,81,"RT #DougFord wants consultations on #marijuana sales in #Ontario https://t.co/EG5iR4iXSv #Ford, who was elected thi… https://t.co/IPPuVnNdmT",dougford wants consultations marijuana sales ontario https ford elected https
622,907,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,iliveasnatalie professional within construction industry concerned legalization marijuana affect
